episode,episode_steps,episode_reward,max_tile
899,291,3068.0,256.0
900,452,5300.0,512.0
901,446,4608.0,512.0
902,375,5156.0,512.0
903,371,4840.0,512.0
904,323,1596.0,128.0
905,320,2704.0,256.0
906,281,3228.0,256.0
907,247,2108.0,128.0
908,220,2384.0,256.0
909,295,3260.0,256.0
910,451,3484.0,256.0
911,404,5256.0,512.0
912,301,3272.0,256.0
913,741,6952.0,512.0
914,203,2420.0,256.0
915,433,5604.0,512.0
916,461,3300.0,256.0
917,381,3124.0,256.0
918,120,1280.0,128.0
919,258,2720.0,256.0
920,605,6268.0,512.0
921,952,11640.0,1024.0
922,258,1300.0,128.0
923,269,3340.0,256.0
924,793,10008.0,1024.0
925,573,5936.0,512.0
926,606,6728.0,512.0
927,157,692.0,64.0
928,862,10220.0,1024.0
929,513,2336.0,256.0
930,480,6260.0,512.0
931,625,5316.0,512.0
932,521,5352.0,512.0
933,564,6928.0,512.0
934,449,4028.0,256.0
935,157,1532.0,128.0
936,518,6476.0,512.0
937,265,3372.0,256.0
938,271,2768.0,256.0
939,349,3008.0,256.0
940,840,9092.0,512.0
941,266,3004.0,256.0
942,243,2936.0,256.0
943,417,5216.0,512.0
944,419,5240.0,512.0
945,221,1372.0,128.0
946,552,6436.0,512.0
947,297,3092.0,256.0
948,296,2968.0,256.0
949,223,2692.0,256.0
950,357,5048.0,512.0
951,387,3912.0,256.0
952,373,2968.0,256.0
953,307,3092.0,256.0
954,297,2996.0,256.0
955,196,2312.0,256.0
956,315,3152.0,256.0
957,353,2600.0,256.0
958,426,4480.0,256.0
959,519,5392.0,512.0
960,453,3600.0,256.0
961,667,10236.0,1024.0
962,869,10700.0,1024.0
963,750,5428.0,512.0
964,693,7080.0,512.0
965,304,3272.0,256.0
966,621,7132.0,512.0
967,543,6460.0,512.0
968,338,2736.0,256.0
969,350,5236.0,512.0
970,205,1792.0,128.0
971,450,4884.0,512.0
972,125,1248.0,128.0
973,323,1320.0,128.0
974,303,2976.0,256.0
975,525,6864.0,512.0
976,549,6264.0,512.0
977,641,6180.0,512.0
978,540,6620.0,512.0
979,652,6976.0,512.0
980,405,5304.0,512.0
981,514,6428.0,512.0
982,336,2488.0,256.0
983,469,6284.0,512.0
984,305,3364.0,256.0
985,264,2808.0,256.0
986,270,2388.0,256.0
987,299,3288.0,256.0
988,260,3204.0,256.0
989,577,7112.0,512.0
990,467,5288.0,512.0
991,471,3812.0,256.0
992,277,3076.0,256.0
993,317,3664.0,256.0
994,484,5144.0,512.0
995,272,2908.0,256.0
996,595,5608.0,512.0
997,618,6860.0,512.0
998,88,576.0,64.0
999,389,4656.0,256.0
1000,339,5136.0,512.0
1001,523,6976.0,512.0
1002,466,5376.0,512.0
1003,428,5280.0,512.0
1004,294,2864.0,256.0
